n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,wind_p50_era5,wind_p50_conus404,wind_p50_difference,wind_p50_percent_bias,wind_p75_era5,wind_p75_conus404,wind_p75_difference,wind_p75_percent_bias,wind_p90_era5,wind_p90_conus404,wind_p90_difference,wind_p90_percent_bias,wind_p95_era5,wind_p95_conus404,wind_p95_difference,wind_p95_percent_bias,wind_p99_era5,wind_p99_conus404,wind_p99_difference,wind_p99_percent_bias,era5_wind_ge_5ms_frequency,conus404_wind_ge_5ms_frequency,wind_ge_5ms_frequency_difference,era5_wind_ge_10ms_frequency,conus404_wind_ge_10ms_frequency,wind_ge_10ms_frequency_difference,era5_wind_ge_15ms_frequency,conus404_wind_ge_15ms_frequency,wind_ge_15ms_frequency_difference,era5_wind_ge_20ms_frequency,conus404_wind_ge_20ms_frequency,wind_ge_20ms_frequency_difference,year,variable,variable_name,units,metric_type
365,0.855920,0.743728,-0.112193,0.371515,0.454850,0.444926,0.000000,0.197959,1.015815,365,365,-0.112193,0.447769,0.382239,0.853654,0.131507,0.003593,0.789838,0.684598,-0.105239,-13.324159,1.075448,0.967608,-0.107840,-10.027410,1.463144,1.312487,-0.150657,-10.296828,1.660449,1.474820,-0.185629,-11.179461,2.155313,1.676808,-0.478505,-22.201166,0.789838,0.684598,-0.105239,-13.324159,1.075448,0.967608,-0.107840,-10.027410,1.463144,1.312487,-0.150657,-10.296828,1.660449,1.474820,-0.185629,-11.179461,2.155313,1.676808,-0.478505,-22.201166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1990,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.915142,0.729527,-0.185615,0.396954,0.492182,0.574756,0.000000,0.330345,0.926929,365,365,-0.185615,0.530981,0.442978,0.834263,0.200000,0.000001,0.862518,0.603360,-0.259157,-30.046629,1.194012,0.952229,-0.241783,-20.249630,1.634148,1.328782,-0.305366,-18.686546,1.898858,1.532518,-0.366341,-19.292685,2.566941,2.103692,-0.463248,-18.046717,0.862518,0.603360,-0.259157,-30.046629,1.194012,0.952229,-0.241783,-20.249630,1.634148,1.328782,-0.305366,-18.686546,1.898858,1.532518,-0.366341,-19.292685,2.566941,2.103692,-0.463248,-18.046717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1991,wind_speed,10m Wind Speed,m/s,derived_wind_speed
366,0.943179,0.769867,-0.173313,0.374686,0.465979,0.574576,0.000000,0.330138,0.929385,366,366,-0.173312,0.501385,0.424851,0.847355,0.158470,0.000199,0.846493,0.702133,-0.144360,-17.053846,1.256410,1.063614,-0.192796,-15.344991,1.554772,1.361420,-0.193352,-12.436047,1.890501,1.598871,-0.291629,-15.426042,2.441674,1.820927,-0.620747,-25.423021,0.846493,0.702133,-0.144360,-17.053846,1.256410,1.063614,-0.192796,-15.344991,1.554772,1.361420,-0.193352,-12.436047,1.890501,1.598871,-0.291629,-15.426042,2.441674,1.820927,-0.620747,-25.423021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1992,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.890787,0.693157,-0.197630,0.412450,0.506937,0.450112,0.000000,0.202601,1.038363,365,365,-0.197630,0.488208,0.386690,0.792062,0.200000,0.000001,0.834081,0.620389,-0.213691,-25.619993,1.155610,0.955388,-0.200223,-17.326139,1.568980,1.203328,-0.365652,-23.305101,1.796505,1.384854,-0.411650,-22.913950,2.260988,1.685562,-0.575425,-25.450176,0.834081,0.620389,-0.213691,-25.619993,1.155610,0.955388,-0.200223,-17.326139,1.568980,1.203328,-0.365652,-23.305101,1.796505,1.384854,-0.411650,-22.913950,2.260988,1.685562,-0.575425,-25.450176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1993,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.864877,0.702692,-0.162186,0.385097,0.485175,0.521043,0.000000,0.271486,1.001124,365,365,-0.162186,0.484630,0.447416,0.923212,0.172603,0.000036,0.817653,0.610114,-0.207539,-25.382330,1.129498,0.955348,-0.174150,-15.418358,1.492759,1.335619,-0.157140,-10.526796,1.684137,1.624779,-0.059358,-3.524549,2.295931,1.909896,-0.386035,-16.813868,0.817653,0.610114,-0.207539,-25.382330,1.129498,0.955348,-0.174150,-15.418358,1.492759,1.335619,-0.157140,-10.526796,1.684137,1.624779,-0.059358,-3.524549,2.295931,1.909896,-0.386035,-16.813868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1994,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.946383,0.800169,-0.146214,0.401240,0.502822,0.602891,0.000000,0.363478,0.844871,365,365,-0.146214,0.595147,0.436239,0.732993,0.123288,0.007741,0.782896,0.720381,-0.062515,-7.985084,1.274176,1.050110,-0.224066,-17.585173,1.734122,1.360280,-0.373842,-21.557989,2.123594,1.681074,-0.442520,-20.838240,2.639797,2.045086,-0.594710,-22.528643,0.782896,0.720381,-0.062515,-7.985084,1.274176,1.050110,-0.224066,-17.585173,1.734122,1.360280,-0.373842,-21.557989,2.123594,1.681074,-0.442520,-20.838240,2.639797,2.045086,-0.594710,-22.528643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1995,wind_speed,10m Wind Speed,m/s,derived_wind_speed
366,0.970845,0.794382,-0.176463,0.422270,0.515523,0.545142,0.000000,0.297180,0.933321,366,366,-0.176463,0.552353,0.443232,0.802444,0.169399,0.000053,0.849013,0.726564,-0.122449,-14.422490,1.373381,1.054596,-0.318785,-23.211708,1.706170,1.409798,-0.296372,-17.370588,2.007256,1.666074,-0.341182,-16.997440,2.573026,2.003624,-0.569402,-22.129663,0.849013,0.726564,-0.122449,-14.422490,1.373381,1.054596,-0.318785,-23.211708,1.706170,1.409798,-0.296372,-17.370588,2.007256,1.666074,-0.341182,-16.997440,2.573026,2.003624,-0.569402,-22.129663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1996,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,1.021845,0.784868,-0.236976,0.379943,0.485127,0.691536,0.000000,0.478221,0.857132,365,365,-0.236976,0.565989,0.501139,0.885422,0.202740,0.000001,0.935263,0.681231,-0.254032,-27.161600,1.345473,1.083502,-0.261971,-19.470537,1.870205,1.485506,-0.384699,-20.569887,2.079501,1.758359,-0.321142,-15.443219,2.675092,2.183019,-0.492073,-18.394621,0.935263,0.681231,-0.254032,-27.161600,1.345473,1.083502,-0.261971,-19.470537,1.870205,1.485506,-0.384699,-20.569887,2.079501,1.758359,-0.321142,-15.443219,2.675092,2.183019,-0.492073,-18.394621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1997,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.891394,0.775220,-0.116175,0.365793,0.465503,0.489623,0.000000,0.239731,1.025414,365,365,-0.116174,0.453966,0.437949,0.964717,0.147945,0.000666,0.867475,0.692888,-0.174587,-20.125843,1.177266,1.032022,-0.145244,-12.337360,1.500301,1.419336,-0.080966,-5.396616,1.642389,1.552051,-0.090338,-5.500422,2.048115,1.974784,-0.073331,-3.580415,0.867475,0.692888,-0.174587,-20.125843,1.177266,1.032022,-0.145244,-12.337360,1.500301,1.419336,-0.080966,-5.396616,1.642389,1.552051,-0.090338,-5.500422,2.048115,1.974784,-0.073331,-3.580415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1998,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.917275,0.800161,-0.117114,0.413719,0.508646,0.522478,0.000000,0.272983,0.917049,365,365,-0.117114,0.554655,0.435891,0.785878,0.120548,0.009887,0.802617,0.746675,-0.055942,-6.969966,1.257345,1.079345,-0.178000,-14.156788,1.704870,1.357038,-0.347832,-20.402248,1.973399,1.651496,-0.321903,-16.312115,2.325765,1.983546,-0.342220,-14.714279,0.802617,0.746675,-0.055942,-6.969966,1.257345,1.079345,-0.178000,-14.156788,1.704870,1.357038,-0.347832,-20.402248,1.973399,1.651496,-0.321903,-16.312115,2.325765,1.983546,-0.342220,-14.714279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1999,wind_speed,10m Wind Speed,m/s,derived_wind_speed
