n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,wind_p50_era5,wind_p50_conus404,wind_p50_difference,wind_p50_percent_bias,wind_p75_era5,wind_p75_conus404,wind_p75_difference,wind_p75_percent_bias,wind_p90_era5,wind_p90_conus404,wind_p90_difference,wind_p90_percent_bias,wind_p95_era5,wind_p95_conus404,wind_p95_difference,wind_p95_percent_bias,wind_p99_era5,wind_p99_conus404,wind_p99_difference,wind_p99_percent_bias,era5_wind_ge_5ms_frequency,conus404_wind_ge_5ms_frequency,wind_ge_5ms_frequency_difference,era5_wind_ge_10ms_frequency,conus404_wind_ge_10ms_frequency,wind_ge_10ms_frequency_difference,era5_wind_ge_15ms_frequency,conus404_wind_ge_15ms_frequency,wind_ge_15ms_frequency_difference,era5_wind_ge_20ms_frequency,conus404_wind_ge_20ms_frequency,wind_ge_20ms_frequency_difference,year,variable,variable_name,units,metric_type
365,1.083439,0.892116,-0.191324,0.391634,0.495560,0.695937,0.000000,0.484329,0.784819,365,365,-0.191324,0.631433,0.497517,0.787917,0.126027,0.006027,0.950224,0.813555,-0.136669,-14.382789,1.393243,1.218004,-0.175240,-12.577815,1.984007,1.602867,-0.381140,-19.210619,2.340848,1.831500,-0.509348,-21.759127,2.896317,2.209216,-0.687101,-23.723265,0.950224,0.813555,-0.136669,-14.382789,1.393243,1.218004,-0.175240,-12.577815,1.984007,1.602867,-0.381140,-19.210619,2.340848,1.831500,-0.509348,-21.759127,2.896317,2.209216,-0.687101,-23.723265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2010,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.947003,0.780250,-0.166753,0.428772,0.538606,0.482459,0.000000,0.232767,1.044175,365,365,-0.166753,0.515820,0.490010,0.949963,0.175342,0.000026,0.855219,0.723765,-0.131454,-15.370811,1.269891,1.129055,-0.140836,-11.090384,1.687833,1.521856,-0.165977,-9.833740,1.917529,1.684996,-0.232534,-12.126733,2.279416,1.983702,-0.295715,-12.973266,0.855219,0.723765,-0.131454,-15.370811,1.269891,1.129055,-0.140836,-11.090384,1.687833,1.521856,-0.165977,-9.833740,1.917529,1.684996,-0.232534,-12.126733,2.279416,1.983702,-0.295715,-12.973266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2011,wind_speed,10m Wind Speed,m/s,derived_wind_speed
366,0.937311,0.721221,-0.216090,0.423260,0.518808,0.515210,0.000000,0.265442,1.011280,366,366,-0.216090,0.513021,0.435012,0.847941,0.185792,0.000006,0.864925,0.641969,-0.222955,-25.777437,1.261271,0.977732,-0.283539,-22.480433,1.615236,1.298726,-0.316510,-19.595255,1.865964,1.496420,-0.369544,-19.804461,2.455920,1.971355,-0.484565,-19.730501,0.864925,0.641969,-0.222955,-25.777437,1.261271,0.977732,-0.283539,-22.480433,1.615236,1.298726,-0.316510,-19.595255,1.865964,1.496420,-0.369544,-19.804461,2.455920,1.971355,-0.484565,-19.730501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2012,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.922381,0.855525,-0.066856,0.400758,0.498364,0.519397,0.000000,0.269773,0.962502,365,365,-0.066856,0.517779,0.488310,0.943085,0.068493,0.359160,0.831936,0.785397,-0.046539,-5.594039,1.189094,1.182445,-0.006649,-0.559187,1.575856,1.469942,-0.105914,-6.721023,1.925312,1.700010,-0.225303,-11.702143,2.424290,2.290847,-0.133443,-5.504420,0.831936,0.785397,-0.046539,-5.594039,1.189094,1.182445,-0.006649,-0.559187,1.575856,1.469942,-0.105914,-6.721023,1.925312,1.700010,-0.225303,-11.702143,2.424290,2.290847,-0.133443,-5.504420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2013,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.961293,0.751351,-0.209942,0.416917,0.520654,0.533058,0.000000,0.284151,0.972395,365,365,-0.209942,0.535435,0.432992,0.808674,0.169863,0.000051,0.867562,0.660371,-0.207191,-23.881964,1.308040,1.064337,-0.243703,-18.631123,1.692586,1.324713,-0.367874,-21.734425,1.857763,1.521546,-0.336218,-18.097988,2.501439,1.842720,-0.658719,-26.333616,0.867562,0.660371,-0.207191,-23.881964,1.308040,1.064337,-0.243703,-18.631123,1.692586,1.324713,-0.367874,-21.734425,1.857763,1.521546,-0.336218,-18.097988,2.501439,1.842720,-0.658719,-26.333616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2014,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.962425,0.760405,-0.202021,0.442559,0.535899,0.490019,0.000000,0.240118,1.049197,365,365,-0.202021,0.510770,0.469678,0.919549,0.202740,0.000001,0.917875,0.701101,-0.216774,-23.616941,1.264251,1.053876,-0.210375,-16.640314,1.700148,1.400055,-0.300093,-17.650969,1.914768,1.616009,-0.298759,-15.602897,2.294302,2.114502,-0.179800,-7.836798,0.917875,0.701101,-0.216774,-23.616941,1.264251,1.053876,-0.210375,-16.640314,1.700148,1.400055,-0.300093,-17.650969,1.914768,1.616009,-0.298759,-15.602897,2.294302,2.114502,-0.179800,-7.836798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2015,wind_speed,10m Wind Speed,m/s,derived_wind_speed
366,0.939601,0.754159,-0.185442,0.428890,0.519706,0.512477,0.000000,0.262632,0.981592,366,366,-0.185442,0.529453,0.441647,0.834157,0.188525,0.000004,0.870010,0.684784,-0.185226,-21.290106,1.235818,0.979166,-0.256652,-20.767803,1.623981,1.418409,-0.205572,-12.658501,2.001876,1.623250,-0.378626,-18.913572,2.485076,1.956331,-0.528745,-21.276808,0.870010,0.684784,-0.185226,-21.290106,1.235818,0.979166,-0.256652,-20.767803,1.623981,1.418409,-0.205572,-12.658501,2.001876,1.623250,-0.378626,-18.913572,2.485076,1.956331,-0.528745,-21.276808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2016,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.940744,0.750199,-0.190546,0.444566,0.551706,0.515828,0.000000,0.266078,0.946612,365,365,-0.190546,0.582821,0.437648,0.750912,0.128767,0.004666,0.826029,0.675981,-0.150048,-18.165026,1.263453,1.044474,-0.218979,-17.331783,1.752742,1.343924,-0.408818,-23.324488,2.011878,1.585900,-0.425978,-21.173138,2.764782,1.855899,-0.908883,-32.873585,0.826029,0.675981,-0.150048,-18.165026,1.263453,1.044474,-0.218979,-17.331783,1.752742,1.343924,-0.408818,-23.324488,2.011878,1.585900,-0.425978,-21.173138,2.764782,1.855899,-0.908883,-32.873585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2017,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.914427,0.732609,-0.181818,0.368160,0.448099,0.559134,0.000000,0.312631,1.015446,365,365,-0.181818,0.441283,0.430811,0.976269,0.241096,0.000000,0.833951,0.673252,-0.160700,-19.269669,1.112311,1.023664,-0.088647,-7.969582,1.579049,1.359860,-0.219190,-13.881109,1.719721,1.521637,-0.198083,-11.518347,2.198165,1.751535,-0.446630,-20.318321,0.833951,0.673252,-0.160700,-19.269669,1.112311,1.023664,-0.088647,-7.969582,1.579049,1.359860,-0.219190,-13.881109,1.719721,1.521637,-0.198083,-11.518347,2.198165,1.751535,-0.446630,-20.318321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2018,wind_speed,10m Wind Speed,m/s,derived_wind_speed
365,0.896777,0.751630,-0.145147,0.390549,0.479528,0.471377,0.000000,0.222196,1.066718,365,365,-0.145147,0.449536,0.439275,0.977174,0.197260,0.000001,0.849935,0.645100,-0.204835,-24.100063,1.174554,1.095468,-0.079086,-6.733303,1.508452,1.376966,-0.131486,-8.716592,1.742239,1.593441,-0.148798,-8.540637,2.137344,1.796501,-0.340843,-15.947017,0.849935,0.645100,-0.204835,-24.100063,1.174554,1.095468,-0.079086,-6.733303,1.508452,1.376966,-0.131486,-8.716592,1.742239,1.593441,-0.148798,-8.540637,2.137344,1.796501,-0.340843,-15.947017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2019,wind_speed,10m Wind Speed,m/s,derived_wind_speed
366,0.983856,0.768659,-0.215197,0.421703,0.520310,0.555277,0.000000,0.308333,1.000835,366,366,-0.215197,0.519876,0.482260,0.927645,0.210383,0.000000,0.913703,0.695294,-0.218410,-23.903780,1.245005,1.045786,-0.199219,-16.001484,1.707485,1.447725,-0.259760,-15.213045,2.001504,1.664289,-0.337215,-16.848083,2.535341,2.069744,-0.465597,-18.364264,0.913703,0.695294,-0.218410,-23.903780,1.245005,1.045786,-0.199219,-16.001484,1.707485,1.447725,-0.259760,-15.213045,2.001504,1.664289,-0.337215,-16.848083,2.535341,2.069744,-0.465597,-18.364264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2020,wind_speed,10m Wind Speed,m/s,derived_wind_speed
