n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,year,variable,variable_name,units,metric_type,n_matched
365,279.390503,279.829315,0.438824,0.647771,0.833754,0.996818,0.000000,0.993645,0.119499,365,365,0.438812,6.977076,6.515287,0.933814,0.065753,0.409573,279.338776,280.313782,0.975006,0.349041,286.005341,285.860443,-0.144897,-0.050663,288.468231,288.097046,-0.371185,-0.128675,288.926941,288.398651,-0.528290,-0.182845,289.613129,289.035370,-0.577759,-0.199493,1982,d2m,2m Dewpoint,K,temporal_spatial_mean,365
365,956.008057,966.912476,10.904400,10.904400,10.930413,0.960090,0.000000,0.921773,4.176513,365,365,10.904419,2.617115,2.333256,0.891538,0.975342,0.000000,955.931030,966.810364,10.879333,1.138088,957.750244,968.392090,10.641846,1.111130,959.196533,969.906860,10.710327,1.116594,960.423096,971.058594,10.635498,1.107376,962.430542,972.299500,9.868958,1.025420,1982,sp,Surface Pressure,hPa,temporal_spatial_mean,365
365,0.336979,0.031726,-0.305253,0.383342,0.463292,0.856563,0.000000,0.733701,0.686198,365,365,-0.305253,0.675158,0.569916,0.844122,0.235616,0.000000,0.289001,-0.024067,-0.313068,-108.327583,0.750170,0.330842,-0.419329,-55.897785,1.203583,0.748766,-0.454817,-37.788574,1.534092,1.045318,-0.488774,-31.860809,2.308236,1.870683,-0.437554,-18.956194,1982,u10,10m U-Wind,m/s,temporal_spatial_mean,365
365,0.039073,-0.439316,-0.478389,0.537350,0.634223,0.790664,0.000000,0.625150,0.932691,365,365,-0.478389,0.679992,0.545131,0.801672,0.367123,0.000000,0.056905,-0.410521,-0.467426,-821.414673,0.505867,-0.102215,-0.608082,-120.205833,0.847115,0.254537,-0.592578,-69.952446,1.132943,0.438843,-0.694100,-61.265240,1.581093,0.703659,-0.877434,-55.495396,1982,v10,10m V-Wind,m/s,temporal_spatial_mean,365
365,1.136164,0.662398,-0.473766,0.473766,0.475122,0.999113,0.000000,0.998227,1.656637,365,365,-0.473766,0.286799,0.320314,1.116858,0.654795,0.000000,1.035601,0.541389,-0.494212,-47.722240,1.419498,0.977272,-0.442226,-31.153673,1.574005,1.158724,-0.415281,-26.383734,1.598887,1.186261,-0.412627,-25.807110,1.619166,1.208189,-0.410977,-25.381994,1982,lai,Leaf Area Index,Index,temporal_spatial_mean,365
365,285.930023,285.696198,-0.233824,0.588933,0.715432,0.998306,0.000000,0.996615,0.094296,365,365,-0.233826,7.587081,7.062091,0.930805,0.106849,0.030924,286.446259,286.146332,-0.299927,-0.104706,293.181793,292.494263,-0.687531,-0.234507,296.271149,295.362305,-0.908844,-0.306761,296.738068,295.627808,-1.110260,-0.374155,297.320496,296.206757,-1.113739,-0.374592,1983,t2m,2m Temperature,K,temporal_spatial_mean,365
365,279.883789,280.574310,0.690559,0.807491,0.993212,0.997126,0.000000,0.994260,0.147228,365,365,0.690521,6.746105,6.228322,0.923247,0.079452,0.199648,279.517914,280.693817,1.175903,0.420690,286.024902,286.350616,0.325714,0.113876,289.132050,288.969482,-0.162567,-0.056226,289.723267,289.487549,-0.235718,-0.081360,290.267853,289.923615,-0.344238,-0.118593,1983,d2m,2m Dewpoint,K,temporal_spatial_mean,365
365,955.228943,966.133545,10.904678,10.904678,10.937306,0.968174,0.000000,0.937361,3.511022,365,365,10.904602,3.115134,2.692237,0.864244,0.950685,0.000000,955.325867,966.057861,10.731995,1.123386,957.251465,967.913696,10.662231,1.113838,959.238892,969.393127,10.154236,1.058572,960.364258,970.283447,9.919189,1.032857,962.524231,972.755371,10.231140,1.062949,1983,sp,Surface Pressure,hPa,temporal_spatial_mean,365
365,0.381061,0.107183,-0.273877,0.371920,0.462586,0.862224,0.000000,0.743430,0.632015,365,365,-0.273877,0.731921,0.591968,0.808786,0.219178,0.000000,0.353409,0.051998,-0.301411,-85.286797,0.867872,0.441269,-0.426603,-49.155067,1.256929,0.879346,-0.377584,-30.040167,1.622745,1.099826,-0.522919,-32.224335,2.222606,1.704377,-0.518228,-23.316250,1983,u10,10m U-Wind,m/s,temporal_spatial_mean,365
365,0.007918,-0.346894,-0.354812,0.467244,0.555108,0.731982,0.000000,0.535798,0.902664,365,365,-0.354812,0.614967,0.531998,0.865084,0.279452,0.000000,-0.000058,-0.307789,-0.307730,-529541.000000,0.457499,0.023648,-0.433850,-94.830956,0.787379,0.284118,-0.503261,-63.916012,0.940433,0.465948,-0.474485,-50.453892,1.407968,0.730343,-0.677625,-48.127892,1983,v10,10m V-Wind,m/s,temporal_spatial_mean,365
