n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,year,season,variable,variable_name,units
91,956.369873,96698.265625,95741.898438,95741.898438,95742.179688,0.973099,0.000000,0.946921,36302.050781,91,91,95741.898438,2.637377,232.848053,88.287758,1.000000,0.000000,956.258911,96696.226562,95739.968750,10011.929688,958.341797,96857.312500,95898.968750,10006.760742,960.076233,97003.726562,96043.648438,10003.752930,960.627319,97071.500000,96110.875000,10005.011719,961.991089,97207.546875,96245.554688,10004.827148,1980,Autumn,sp,Surface Pressure,hPa
91,0.809551,0.505559,-0.303992,0.416655,0.512598,0.785148,0.000000,0.616457,0.769295,91,91,-0.303992,0.666321,0.515504,0.773657,0.274725,0.001979,0.791864,0.464232,-0.327633,-41.374832,1.253106,0.811049,-0.442057,-35.276917,1.561530,1.181579,-0.379951,-24.331987,1.676908,1.298591,-0.378317,-22.560387,2.622729,1.719618,-0.903111,-34.434032,1980,Winter,u10,10m U-Wind,m/s
92,0.489901,0.173884,-0.316017,0.360629,0.425541,0.889576,0.000000,0.791345,0.683940,92,92,-0.316017,0.622190,0.532424,0.855725,0.282609,0.001213,0.534292,0.203599,-0.330693,-61.893738,0.830574,0.491764,-0.338811,-40.792336,1.272763,0.884521,-0.388243,-30.503902,1.664073,1.036849,-0.627224,-37.692104,1.854575,1.353269,-0.501306,-27.030788,1980,Spring,u10,10m U-Wind,m/s
92,0.442588,-0.018566,-0.461154,0.465969,0.518394,0.846630,0.000000,0.716783,1.195989,92,92,-0.461154,0.433444,0.313489,0.723252,0.500000,0.000000,0.416609,-0.023385,-0.439994,-105.613052,0.776129,0.247622,-0.528507,-68.095284,1.022854,0.319181,-0.703673,-68.795082,1.111441,0.408563,-0.702878,-63.240234,1.322298,0.584285,-0.738013,-55.812897,1980,Summer,u10,10m U-Wind,m/s
91,0.463815,0.146843,-0.316972,0.355196,0.423380,0.915270,0.000000,0.837720,0.634387,91,91,-0.316972,0.667385,0.530217,0.794471,0.274725,0.001979,0.386767,0.068392,-0.318375,-82.316963,0.805411,0.424399,-0.381012,-47.306492,1.260227,0.872661,-0.387565,-30.753624,1.686302,1.156939,-0.529364,-31.391972,2.270135,1.565967,-0.704168,-31.018770,1980,Autumn,u10,10m U-Wind,m/s
91,-0.449761,-0.459208,-0.009448,0.396949,0.494247,0.848516,0.000000,0.719980,0.533392,91,91,-0.009448,0.926611,0.724896,0.782309,0.076923,0.952399,-0.570611,-0.526733,0.043878,7.689641,0.094555,0.116418,0.021863,23.122208,0.856173,0.433560,-0.422613,-49.360683,1.222746,0.813030,-0.409717,-33.507912,1.925260,1.178582,-0.746677,-38.783195,1980,Winter,v10,10m V-Wind,m/s
92,-0.140578,-0.563766,-0.423189,0.509852,0.615964,0.737603,0.000000,0.544059,0.952943,92,92,-0.423189,0.646381,0.575905,0.890968,0.315217,0.000193,-0.151175,-0.555820,-0.404646,-267.667725,0.348415,-0.203551,-0.551967,-158.422104,0.666204,0.095353,-0.570852,-85.687180,0.880122,0.410271,-0.469851,-53.384750,1.122925,0.728015,-0.394910,-35.167953,1980,Spring,v10,10m V-Wind,m/s
92,0.472651,-0.183724,-0.656375,0.656375,0.716983,0.746423,0.000000,0.557147,1.661960,92,92,-0.656375,0.431408,0.350583,0.812649,0.619565,0.000000,0.520602,-0.174322,-0.694924,-133.484818,0.771304,0.070059,-0.701245,-90.916847,0.968460,0.265612,-0.702848,-72.573822,1.122148,0.370007,-0.752141,-67.026855,1.362930,0.424350,-0.938580,-68.864883,1980,Summer,v10,10m V-Wind,m/s
91,-0.315147,-0.546055,-0.230908,0.395817,0.483865,0.771275,0.000000,0.594866,0.729104,91,91,-0.230908,0.663643,0.463103,0.697819,0.263736,0.003427,-0.328449,-0.503014,-0.174565,-53.148418,0.183774,-0.229642,-0.413416,-224.959152,0.537651,0.020841,-0.516810,-96.123642,0.672822,0.181366,-0.491455,-73.043900,0.873548,0.361157,-0.512391,-58.656334,1980,Autumn,v10,10m V-Wind,m/s
91,0.830935,0.331323,-0.499612,0.499612,0.499745,0.635013,0.000000,0.403241,35.326576,91,91,-0.499612,0.014146,0.012645,0.893886,1.000000,0.000000,0.825907,0.326703,-0.499204,-60.443100,0.839086,0.339895,-0.499191,-59.492241,0.851313,0.351372,-0.499941,-58.725868,0.860962,0.355235,-0.505727,-58.739784,0.868680,0.360820,-0.507861,-58.463470,1980,Winter,lai,Leaf Area Index,Index
